DATE,C RES PRICE,C PEA,A RES PRICE,A TIER PRICE,A PEA
2024-08-01 01:00:00,6.85,-0.198,8.136,8.136,-0.144
2024-09-01 01:00:00,6.85,-0.394,8.136,8.136,-0.087
2024-10-01 01:00:00,6.612,-1.785,8.09,7.506,-0.13
2024-11-01 01:00:00,6.47,-0.794,8.09,7.506,-0.138
2024-12-01 01:00:00,6.47,-0.81,8.09,7.506,0.25
2025-01-01 01:00:00,6.552,-0.542,8.277,7.693,0.073
2025-02-01 01:00:00,6.552,-0.089,8.277,7.693,-0.322
2025-03-01 01:00:00,6.552,0.031,8.277,7.693,-0.245
2025-04-01 01:00:00,6.552,-0.335,8.277,7.693,-0.353
2025-05-01 01:00:00,6.552,1.965,8.277,7.693,-0.327
2025-06-01 01:00:00,10.028,0.527,12.18,12.18,-0.086
2025-07-01 01:00:00,10.028,-0.446,12.18,12.18,-0.27
2025-08-01 01:00:00,10.028,-0.029,12.18,12.18,-0.132
2025-09-01 01:00:00,10.027,0.022,12.18,12.18,-0.142
2025-10-01 01:00:00,9.689,-1.469,8.402,7.483,0.303
