All Hours,On Peak,Off Peak,DATE
21.91827702192908,25.235005551955883,19.264894197907676,2024-06-01 01:00:00
27.260058013136398,31.93064748088259,22.68884278938502,2024-07-01 01:00:00
27.107241552740696,31.722868125924276,22.962597282943424,2024-08-01 01:00:00
23.51647281998783,26.172658581125056,21.19231027899276,2024-09-01 01:00:00
21.168146468612996,22.804738757836027,19.566375291926622,2024-10-01 01:00:00
25.36332604027897,27.968275540708042,23.08399522740356,2024-11-01 01:00:00
32.656732713473694,36.306843973431185,29.379081786164924,2024-12-01 01:00:00
41.35921595059075,46.16237542639133,36.65825135725407,2025-01-01 01:00:00
43.594470494859586,46.86774785270778,40.61876380590672,2025-02-01 01:00:00
32.91657446750781,35.35695396662143,30.906850174119977,2025-03-01 01:00:00
32.27039198662842,34.54701212364039,30.092755333834646,2025-04-01 01:00:00
29.750650689069737,32.477450971726604,27.302095333214467,2025-05-01 01:00:00
31.02358176623634,35.166558839995105,27.398476826697564,2025-06-01 01:00:00
35.60645264474605,42.30620549815286,29.049247724390472,2025-07-01 01:00:00
36.26184618646242,43.0964804587982,30.633323844538868,2025-08-01 01:00:00
30.548036306943352,34.07214198728431,27.177152612704038,2025-09-01 01:00:00
28.120784236665635,30.43877336571917,25.852114025251556,2025-10-01 01:00:00
32.21541581505696,35.158613468223365,29.86085769252381,2025-11-01 01:00:00
40.460936235878464,45.52781474043027,35.501863656955386,2025-12-01 01:00:00
49.0164163807931,55.96860302956227,42.77363653291873,2026-01-01 01:00:00
49.46792653782307,54.505309726279705,44.888487275589725,2026-02-01 01:00:00
39.677067782779076,42.32058688124932,37.30329553109136,2026-03-01 01:00:00
39.38680223713004,43.040922812279405,35.891556469596026,2026-04-01 01:00:00
39.94113139177836,48.769479046156796,32.670727441114,2026-05-01 01:00:00
38.7209077204476,45.826209433030364,31.924532169281363,2026-06-01 01:00:00
46.73495065779419,57.34219798016904,36.353389448661574,2026-07-01 01:00:00
45.207864008533214,55.80990852338073,36.47676852571789,2026-08-01 01:00:00
38.56917357751637,45.39995752768952,32.03538023387276,2026-09-01 01:00:00
35.90268107123106,39.30246009936987,32.84981827045331,2026-10-01 01:00:00
42.502254712269526,45.64291542419006,39.754176589338975,2026-11-01 01:00:00
49.766537886051566,54.27127215737873,45.357649024752575,2026-12-01 01:00:00
49.551886994522576,55.830829524502896,44.38099314630345,2027-01-01 01:00:00
47.88282448137672,51.88025318587694,44.24879838637652,2027-02-01 01:00:00
41.34621560184573,43.74545439563982,38.99802444196216,2027-03-01 01:00:00
39.60991787426716,42.975836441515824,36.39034359255084,2027-04-01 01:00:00
38.484686654917,42.99655541717782,34.76903002717291,2027-05-01 01:00:00
41.159455387409935,48.315752530035276,34.31430159881194,2027-06-01 01:00:00
47.79004392607693,58.78751770842591,37.9147613460084,2027-07-01 01:00:00
47.64497345835699,57.83574099650668,38.494080158794155,2027-08-01 01:00:00
40.42284270261474,47.10991995033528,34.026507943925736,2027-09-01 01:00:00
37.65273602307998,41.73985057429665,34.286876980901475,2027-10-01 01:00:00
42.011417290646854,45.51450453106899,38.660638191112724,2027-11-01 01:00:00
48.886639640966735,53.98404437833634,43.897690323541006,2027-12-01 01:00:00
48.0155017570314,55.56449476922092,41.79868398228699,2028-01-01 01:00:00
43.76514182724883,48.83698797380838,39.03141875712661,2028-02-01 01:00:00
38.715500958023185,41.17252876028189,36.310750343046394,2028-03-01 01:00:00
38.31250879295438,42.522785888271166,34.94428711670098,2028-04-01 01:00:00
40.00353377257244,44.78436453704003,35.324422811604165,2028-05-01 01:00:00
39.87995619574496,47.51978508169161,32.5722937831003,2028-06-01 01:00:00
45.98153683470076,57.73135487498691,36.305216095641505,2028-07-01 01:00:00
45.00214204221367,55.25649193414699,34.96596980755556,2028-08-01 01:00:00
36.88867421766787,43.04909846145702,31.498303004352415,2028-09-01 01:00:00
35.88060610349844,39.86063603554739,32.306701674719726,2028-10-01 01:00:00
47.46137206600028,52.65723953834108,42.49141187506565,2028-11-01 01:00:00
46.43179517481684,52.33869128470854,41.56729249608241,2028-12-01 01:00:00
50.005716484873,56.876764336762335,43.28086114047073,2029-01-01 01:00:00
44.866518691895905,50.77348740836091,39.496547131473086,2029-02-01 01:00:00
40.640455422718475,43.79526241431904,37.80756751189345,2029-03-01 01:00:00
40.04519044322212,43.707431801906665,36.8407292543731,2029-04-01 01:00:00
40.101848658697435,45.25310228764621,35.060196170790014,2029-05-01 01:00:00
41.77426162634254,50.012021669333855,34.56622158872516,2029-06-01 01:00:00
47.88201377808796,59.14808576042886,37.76554097761848,2029-07-01 01:00:00
46.581817632622425,56.71700995196911,36.66226770304902,2029-08-01 01:00:00
37.60494765316531,45.04920274240581,31.649543581772964,2029-09-01 01:00:00
35.94559707793924,39.76983616633291,32.20272477866036,2029-10-01 01:00:00
42.69169711591147,47.37884047747804,38.2083425961521,2029-11-01 01:00:00
47.666137566802604,55.09248390979182,41.55032293139971,2029-12-01 01:00:00
52.672752823724345,60.33849774181616,45.170108861336644,2030-01-01 01:00:00
46.31778872941774,52.29514367265139,40.88382969011443,2030-02-01 01:00:00
39.93958192935009,43.32853951590554,37.14867568159866,2030-03-01 01:00:00
39.904010171262776,42.881861076590866,37.05563104442711,2030-04-01 01:00:00
42.272907519979896,47.860168909315234,36.80452403254519,2030-05-01 01:00:00
41.510231222554886,50.600867249251486,34.2377224011976,2030-06-01 01:00:00
48.00728547292508,59.63489567985304,36.627071227846606,2030-07-01 01:00:00
45.15031484271557,56.26406570430007,35.170620191496674,2030-08-01 01:00:00
