ComEd Basic Electric Service Residential Purchased Energy Charge (PEC),ComEd Basic Electric Service Demand Non-Electric Space Heating Purchased Energy Charge (PEC),ComEd Basic Electric Service Watt-Hour Non-Electric Space Heating Purchased Energy Charge (PEC),ComEd Basic Electric Service Non-Residential Electric Space Heating Purchased Energy Charge (PEC),Ameren Illinois Residential Residential BGS 1,Ameren Illinois Small Commercial Small Commercial BGS 2 - Primary,Ameren Illinois Small Commercial Small Commercial BGS 2 - Secondary,Ameren Illinois Small Commercial Small Commercial BGS 2 - High Voltage,DATE
0.0833,0.08452,0.0839,0.08417,0.10138823397075365,0.12165,0.12422000000000001,0.12000999999999999,2023-01-01 01:00:00
0.0833,0.08452,0.0839,0.08417,0.10138823397075365,0.12165,0.12422000000000001,0.12000999999999999,2023-02-01 01:00:00
0.0833,0.08452,0.0839,0.08417,0.10138823397075365,0.12165,0.12422000000000001,0.12000999999999999,2023-03-01 01:00:00
0.0833,0.08452,0.0839,0.08417,0.10138823397075365,0.12165,0.12422000000000001,0.12000999999999999,2023-04-01 01:00:00
0.0833,0.08452,0.0839,0.08417,0.10138823397075365,0.12165,0.12422000000000001,0.12000999999999999,2023-05-01 01:00:00
0.05349,0.05475,0.05393,0.05027,0.06018,0.07427,0.07591,0.07327,2023-06-01 01:00:00
0.05349,0.05475,0.05393,0.05027,0.06018,0.07427,0.07591,0.07327,2023-07-01 01:00:00
0.05349,0.05475,0.05393,0.05027,0.06018,0.07427,0.07591,0.07327,2023-08-01 01:00:00
0.05341,0.05462,0.05381,0.05015,0.06018,0.07427,0.07591,0.07327,2023-09-01 01:00:00
0.05586,0.0569,0.05648,0.05236,0.06147586051743532,0.07323,0.07485,0.07224,2023-10-01 01:00:00
0.05586,0.0569,0.05648,0.05236,0.06147586051743532,0.07323,0.07485,0.07224,2023-11-01 01:00:00
0.05586,0.0569,0.05648,0.05236,0.06147586051743532,0.07323,0.07485,0.07224,2023-12-01 01:00:00
0.05586,0.0569,0.05648,0.05236,0.06147586051743532,0.07323,0.07485,0.07224,2024-01-01 01:00:00
0.05586,0.0569,0.05648,0.05236,0.06147586051743532,0.07323,0.07485,0.07224,2024-02-01 01:00:00
0.05586,0.0569,0.05648,0.05236,0.06147586051743532,0.07323,0.07485,0.07224,2024-03-01 01:00:00
0.05586,0.0569,0.05648,0.05236,0.06147586051743532,0.07323,0.07485,0.07224,2024-04-01 01:00:00
0.05586,0.0569,0.05648,0.05236,0.06147586051743532,0.07323,0.07485,0.07224,2024-05-01 01:00:00
0.0537,0.05512,0.05413,0.04734,0.055529999999999996,0.06848,0.07003,0.06755,2024-06-01 01:00:00
0.0537,0.05512,0.05413,0.04734,0.055529999999999996,0.06848,0.07003,0.06755,2024-07-01 01:00:00
0.0537,0.05512,0.05413,0.04734,0.055529999999999996,0.06848,0.07003,0.06755,2024-08-01 01:00:00
0.0537,0.05512,0.05413,0.04734,0.055529999999999996,0.06848,0.07003,0.06755,2024-09-01 01:00:00
0.07528986343063554,0.0714220059821434,0.07105282826690673,0.06920333609689608,0.07500692134886312,0.09459599672489928,0.09661947842624607,0.0934935685151012,2024-10-01 01:00:00
0.07528986343063554,0.0714220059821434,0.07105282826690673,0.06920333609689608,0.07500692134886312,0.09459599672489928,0.09661947842624607,0.0934935685151012,2024-11-01 01:00:00
0.07528986343063554,0.0714220059821434,0.07105282826690673,0.06920333609689608,0.07500692134886312,0.09459599672489928,0.09661947842624607,0.0934935685151012,2024-12-01 01:00:00
0.07528986343063554,0.0714220059821434,0.07105282826690673,0.06920333609689608,0.07500692134886312,0.09459599672489928,0.09661947842624607,0.0934935685151012,2025-01-01 01:00:00
0.07528986343063554,0.0714220059821434,0.07105282826690673,0.06920333609689608,0.07500692134886312,0.09459599672489928,0.09661947842624607,0.0934935685151012,2025-02-01 01:00:00
0.07528986343063554,0.0714220059821434,0.07105282826690673,0.06920333609689608,0.07500692134886312,0.09459599672489928,0.09661947842624607,0.0934935685151012,2025-03-01 01:00:00
