All Hours,On Peak,Off Peak,DATE
30.649655079537776,33.67360183497245,28.230497675189824,2024-06-01 01:00:00
35.3730155481665,39.93463606651341,30.908450785529098,2024-07-01 01:00:00
34.95668424410321,39.02036860842302,31.307661549611918,2024-08-01 01:00:00
32.72423398773919,36.01474667164598,29.845035389320714,2024-09-01 01:00:00
29.45733001740721,31.465537205608953,27.49185064172056,2024-10-01 01:00:00
34.22331945171708,36.00234253777812,32.66667425141375,2024-11-01 01:00:00
40.254281770846546,42.755514533780975,38.008276840864625,2024-12-01 01:00:00
42.06350133829308,45.19612705125727,38.997527236242995,2025-01-01 01:00:00
40.32675823155486,42.84209457538214,38.04008882807553,2025-02-01 01:00:00
35.515936077134306,38.04516934525736,33.433038091621164,2025-03-01 01:00:00
38.00342602208463,40.35883469305892,35.75042642376158,2025-04-01 01:00:00
37.34416871723793,39.72328879224352,35.207815996824905,2025-05-01 01:00:00
39.34707282800994,42.81847067871924,36.30959970863878,2025-06-01 01:00:00
44.11367495809749,50.10891841898469,38.24598986871812,2025-07-01 01:00:00
43.32862777427416,49.219169956674754,38.47759303582623,2025-08-01 01:00:00
38.937720151052226,41.85300998371571,36.14918205024348,2025-09-01 01:00:00
35.712627957518876,37.6281102655101,33.83790059225037,2025-10-01 01:00:00
39.63596900872454,41.25293422656121,38.342396834455805,2025-11-01 01:00:00
45.48829966144661,48.81958891810004,42.227888899615614,2025-12-01 01:00:00
50.83443739794464,56.34425344506133,45.8868474780848,2026-01-01 01:00:00
49.37470096899236,53.82410738738953,45.32978604317677,2026-02-01 01:00:00
41.44704629680538,44.06860475174724,39.09299380665355,2026-03-01 01:00:00
42.421575039667665,45.15381564181736,39.808127507176565,2026-04-01 01:00:00
42.60641870321255,45.90399326803591,39.89076906159309,2026-05-01 01:00:00
46.4542149885265,50.61050906310059,42.47862935197747,2026-06-01 01:00:00
52.74291816428729,60.110971059142614,45.53163235230117,2026-07-01 01:00:00
51.55951024127072,58.18615663409022,46.10227203541934,2026-08-01 01:00:00
47.12252723482027,52.03716133238857,42.42157288062477,2026-09-01 01:00:00
41.10637952785443,42.78400818274401,39.59993747040286,2026-10-01 01:00:00
45.60675293396162,47.52784675719361,43.925795838633746,2026-11-01 01:00:00
52.32257830564428,56.71284330814228,48.02572319681661,2026-12-01 01:00:00
51.43758940461743,56.69294748693175,47.10964745447627,2027-01-01 01:00:00
49.87779072364673,53.64456773230995,46.453447988498326,2027-02-01 01:00:00
43.22733862882724,46.13117022829681,40.38529068040994,2027-03-01 01:00:00
43.92320089271287,46.77666786012309,41.1937977064943,2027-04-01 01:00:00
43.95861022655273,46.84868242147465,41.578550771911125,2027-05-01 01:00:00
47.42904318197878,51.116404760650965,43.902001671944575,2027-06-01 01:00:00
53.35203866299769,60.75107902818893,46.708002416703515,2027-07-01 01:00:00
52.32948443170717,58.710948970122246,46.59918974415054,2027-08-01 01:00:00
47.56947899670574,52.23546445554966,43.10636247085515,2027-09-01 01:00:00
41.27541022408048,43.43365260859384,39.49803414271656,2027-10-01 01:00:00
44.58297330657594,46.03216635445396,43.19678865208397,2027-11-01 01:00:00
50.35181137122264,53.56877352318962,47.203295222488926,2027-12-01 01:00:00
47.12430291527404,51.52105056533312,43.50345190934303,2028-01-01 01:00:00
44.71303465646935,47.41835574128534,42.18806831064118,2028-02-01 01:00:00
42.49914700252329,45.0840178861992,39.96927337169169,2028-03-01 01:00:00
41.87667560153622,45.68395882334468,38.830849024089495,2028-04-01 01:00:00
43.45345861666788,46.09386955624074,40.86922663325611,2028-05-01 01:00:00
47.16511461336657,51.67294900950361,42.853273017061575,2028-06-01 01:00:00
51.6640462221144,58.97421044052872,45.643910983420135,2028-07-01 01:00:00
52.01936335764075,58.763204978128385,45.419007729078366,2028-08-01 01:00:00
46.58616794870457,51.53102544748532,42.25941763727142,2028-09-01 01:00:00
41.26929950690226,43.669440427536976,39.11407092510767,2028-10-01 01:00:00
45.10736914988479,47.57198351203842,42.74991193391176,2028-11-01 01:00:00
49.98207641397829,54.92183800841573,45.9140374538532,2028-12-01 01:00:00
50.24390882751419,55.47645015187907,45.122698169625224,2029-01-01 01:00:00
47.62109107836197,51.790506566737825,43.83071336165661,2029-02-01 01:00:00
42.86815766144568,45.50938164526809,40.49644632903369,2029-03-01 01:00:00
42.53915782206307,46.1679831321983,39.36393567569473,2029-04-01 01:00:00
45.10839470494492,48.71032142796602,41.58310472071147,2029-05-01 01:00:00
48.24469636941479,53.803742521343786,43.38053098647687,2029-06-01 01:00:00
53.73222316357632,61.08671594392629,47.12818883020082,2029-07-01 01:00:00
52.466221235478216,59.502101719298956,45.580040336419444,2029-08-01 01:00:00
47.61956429827602,53.018959595779656,43.3000480602732,2029-09-01 01:00:00
42.604398299112184,44.19767562929061,41.04502048659717,2029-10-01 01:00:00
44.80883153365637,47.08967094193487,42.6271590561725,2029-11-01 01:00:00
50.20659242189286,55.54124124690778,45.81335221305699,2029-12-01 01:00:00
51.50222570173749,56.84850100045905,46.269700941286466,2030-01-01 01:00:00
47.707926900319016,51.43518459965593,44.319510810012794,2030-02-01 01:00:00
42.6867081056506,45.29206272428825,40.54112194912548,2030-03-01 01:00:00
41.53630281489656,44.300209668617335,38.892565824381,2030-04-01 01:00:00
48.64155460227254,53.85868719657365,43.53542482912679,2030-05-01 01:00:00
49.14442954466067,54.89908558975797,44.54070470858282,2030-06-01 01:00:00
54.9014735944749,62.56619852711047,47.399827915725105,2030-07-01 01:00:00
53.633827226139076,61.09009819245782,46.938400235975436,2030-08-01 01:00:00
