ComEd Basic Electric Service Residential PJM Services Charge (PSC),ComEd Basic Electric Service Demand Non-Electric Space Heating PJM Services Charge (PSC),ComEd Basic Electric Service Watt-Hour Non-Electric Space Heating PJM Services Charge (PSC),ComEd Basic Electric Service Non-Residential Electric Space Heating PJM Services Charge (PSC),Ameren Illinois Residential Residential Rider TS - DS1,Ameren Illinois Small Commercial Small Commercial Rider TS - DS2,DATE
0.01332,0.01328,0.01328,0.01328,0.01562,0.0157,2023-01-01 01:00:00
0.01332,0.01328,0.01328,0.01328,0.01562,0.0157,2023-02-01 01:00:00
0.01332,0.01328,0.01328,0.01328,0.01562,0.0157,2023-03-01 01:00:00
0.01332,0.01328,0.01328,0.01328,0.01562,0.0157,2023-04-01 01:00:00
0.01332,0.01328,0.01328,0.01328,0.01562,0.0157,2023-05-01 01:00:00
0.0146,0.01458,0.01458,0.01458,0.02022,0.02032,2023-06-01 01:00:00
0.0146,0.01458,0.01458,0.01458,0.02022,0.02032,2023-07-01 01:00:00
0.0146,0.01458,0.01458,0.01458,0.02022,0.02032,2023-08-01 01:00:00
0.01458,0.01455,0.01455,0.01455,0.02022,0.02032,2023-09-01 01:00:00
0.01458,0.01455,0.01455,0.01455,0.02022,0.02032,2023-10-01 01:00:00
0.01458,0.01455,0.01455,0.01455,0.02022,0.02032,2023-11-01 01:00:00
0.01458,0.01455,0.01455,0.01455,0.02022,0.02032,2023-12-01 01:00:00
0.01458,0.01455,0.01455,0.01455,0.015983955327506252,0.01606581937527837,2024-01-01 01:00:00
0.01458,0.01455,0.01455,0.01455,0.015983955327506252,0.01606581937527837,2024-02-01 01:00:00
0.01458,0.01455,0.01455,0.01455,0.015983955327506252,0.01606581937527837,2024-03-01 01:00:00
0.01458,0.01455,0.01455,0.01455,0.015983955327506252,0.01606581937527837,2024-04-01 01:00:00
0.01458,0.01455,0.01455,0.01455,0.015983955327506252,0.01606581937527837,2024-05-01 01:00:00
0.015036333197159087,0.015015735480450649,0.015015735480450649,0.015015735480450649,0.020691138074403096,0.02079346813411825,2024-06-01 01:00:00
0.015036333197159087,0.015015735480450649,0.015015735480450649,0.015015735480450649,0.020691138074403096,0.02079346813411825,2024-07-01 01:00:00
0.015036333197159087,0.015015735480450649,0.015015735480450649,0.015015735480450649,0.020691138074403096,0.02079346813411825,2024-08-01 01:00:00
0.015015735480450649,0.014984838905387994,0.014984838905387994,0.014984838905387994,0.020691138074403096,0.02079346813411825,2024-09-01 01:00:00
0.015015735480450649,0.014984838905387994,0.014984838905387994,0.014984838905387994,0.020691138074403096,0.02079346813411825,2024-10-01 01:00:00
0.015015735480450649,0.014984838905387994,0.014984838905387994,0.014984838905387994,0.020691138074403096,0.02079346813411825,2024-11-01 01:00:00
0.015015735480450649,0.014984838905387994,0.014984838905387994,0.014984838905387994,0.020691138074403096,0.02079346813411825,2024-12-01 01:00:00
0.015297812476771302,0.015266335496366424,0.015266335496366424,0.015266335496366424,0.016803016149088353,0.01688907513064578,2025-01-01 01:00:00
0.015297812476771302,0.015266335496366424,0.015266335496366424,0.015266335496366424,0.016803016149088353,0.01688907513064578,2025-02-01 01:00:00
0.015297812476771302,0.015266335496366424,0.015266335496366424,0.015266335496366424,0.016803016149088353,0.01688907513064578,2025-03-01 01:00:00
0.015297812476771302,0.015266335496366424,0.015266335496366424,0.015266335496366424,0.016803016149088353,0.01688907513064578,2025-04-01 01:00:00
0.015297812476771302,0.015266335496366424,0.015266335496366424,0.015266335496366424,0.016803016149088353,0.01688907513064578,2025-05-01 01:00:00
0.01577661218027372,0.015755000382766494,0.015755000382766494,0.015755000382766494,0.021751407588640616,0.02185898131558741,2025-06-01 01:00:00
0.01577661218027372,0.015755000382766494,0.015755000382766494,0.015755000382766494,0.021751407588640616,0.02185898131558741,2025-07-01 01:00:00
0.01577661218027372,0.015755000382766494,0.015755000382766494,0.015755000382766494,0.021751407588640616,0.02185898131558741,2025-08-01 01:00:00
0.015755000382766494,0.015722582686505657,0.015722582686505657,0.015722582686505657,0.021751407588640616,0.02185898131558741,2025-09-01 01:00:00
0.015755000382766494,0.015722582686505657,0.015722582686505657,0.015722582686505657,0.021751407588640616,0.02185898131558741,2025-10-01 01:00:00
0.015755000382766494,0.015722582686505657,0.015722582686505657,0.015722582686505657,0.021751407588640616,0.02185898131558741,2025-11-01 01:00:00
0.015755000382766494,0.015722582686505657,0.015722582686505657,0.015722582686505657,0.021751407588640616,0.02185898131558741,2025-12-01 01:00:00
0.015778464248821285,0.015745998273000668,0.015745998273000668,0.015745998273000668,0.017710661522121612,0.017801369135551165,2026-01-01 01:00:00
0.015778464248821285,0.015745998273000668,0.015745998273000668,0.015745998273000668,0.017710661522121612,0.017801369135551165,2026-02-01 01:00:00
